id,name,category,price,original_price,image_url,description,rating,featured,stock
1,Premium Roasted Makhana - Peri Peri,makhana,249,299,https://images.pexels.com/photos/62097/pexels-photo-62097.jpeg?auto=compress&cs=tinysrgb&w=400,"Spicy peri peri flavored roasted fox nuts, perfect healthy snack",4.8,TRUE,150
2,Classic Salted Makhana,makhana,199,229,https://images.pexels.com/photos/1435904/pexels-photo-1435904.jpeg?auto=compress&cs=tinysrgb&w=400,"Lightly salted crispy fox nuts, gluten-free and high protein",4.7,TRUE,200
3,Cream & Onion Makhana,makhana,229,259,https://images.pexels.com/photos/62097/pexels-photo-62097.jpeg?auto=compress&cs=tinysrgb&w=400,Delicious cream and onion flavored roasted makhana,4.6,FALSE,100
4,Alphonso Mangoes - 1 Dozen,mangoes,899,1099,https://images.pexels.com/photos/39303/mango-tropical-fruit-juicy-sweet-39303.jpeg?auto=compress&cs=tinysrgb&w=400,"Premium Devgad Alphonso mangoes, naturally ripened",4.9,TRUE,50
5,Dasheri Mangoes - 5kg Box,mangoes,599,749,https://images.pexels.com/photos/2294472/pexels-photo-2294472.jpeg?auto=compress&cs=tinysrgb&w=400,"Sweet and aromatic Dasheri mangoes from Malihabad",4.7,FALSE,80
6,Organic Turmeric Powder,spices,149,189,https://images.pexels.com/photos/2802527/pexels-photo-2802527.jpeg?auto=compress&cs=tinysrgb&w=400,Pure organic turmeric powder with high curcumin content,4.8,TRUE,300
7,Red Chili Powder,spices,129,159,https://images.pexels.com/photos/2802527/pexels-photo-2802527.jpeg?auto=compress&cs=tinysrgb&w=400,Premium Kashmiri red chili powder for rich color,4.6,FALSE,250
8,Garam Masala,spices,179,219,https://images.pexels.com/photos/2802527/pexels-photo-2802527.jpeg?auto=compress&cs=tinysrgb&w=400,Authentic blend of whole spices freshly ground,4.9,TRUE,180
9,Organic Basmati Rice,grains,349,399,https://images.pexels.com/photos/60021/grain-wheat-cereals-agriculture-60021.jpeg?auto=compress&cs=tinysrgb&w=400,Long grain aromatic basmati rice aged for 2 years,4.8,TRUE,120
10,Quinoa Seeds,grains,279,329,https://images.pexels.com/photos/60021/grain-wheat-cereals-agriculture-60021.jpeg?auto=compress&cs=tinysrgb&w=400,Protein-rich quinoa perfect for healthy meals,4.5,FALSE,100
11,Organic Chana Dal,grains,159,189,https://images.pexels.com/photos/60021/grain-wheat-cereals-agriculture-60021.jpeg?auto=compress&cs=tinysrgb&w=400,Split Bengal gram high protein pulse,4.7,FALSE,200
12,Premium Almonds,dry-fruits,699,799,https://images.pexels.com/photos/1295572/pexels-photo-1295572.jpeg?auto=compress&cs=tinysrgb&w=400,California almonds rich in Vitamin E and healthy fats,4.9,TRUE,90